HIRAGANA LETTER SMALL A,ぁ,012353,0x3041
HIRAGANA LETTER A,あ,012354,0x3042
HIRAGANA LETTER SMALL I,ぃ,012355,0x3043
HIRAGANA LETTER I,い,012356,0x3044
HIRAGANA LETTER SMALL U,ぅ,012357,0x3045
HIRAGANA LETTER U,う,012358,0x3046
HIRAGANA LETTER SMALL E,ぇ,012359,0x3047
HIRAGANA LETTER E,え,012360,0x3048
HIRAGANA LETTER SMALL O,ぉ,012361,0x3049
HIRAGANA LETTER O,お,012362,0x304A
HIRAGANA LETTER KA,か,012363,0x304B
HIRAGANA LETTER GA,が,012364,0x304C
HIRAGANA LETTER KI,き,012365,0x304D
HIRAGANA LETTER GI,ぎ,012366,0x304E
HIRAGANA LETTER KU,く,012367,0x304F
HIRAGANA LETTER GU,ぐ,012368,0x3050
HIRAGANA LETTER KE,け,012369,0x3051
HIRAGANA LETTER GE,げ,012370,0x3052
HIRAGANA LETTER KO,こ,012371,0x3053
HIRAGANA LETTER GO,ご,012372,0x3054
HIRAGANA LETTER SA,さ,012373,0x3055
HIRAGANA LETTER ZA,ざ,012374,0x3056
HIRAGANA LETTER SI,し,012375,0x3057
HIRAGANA LETTER ZI,じ,012376,0x3058
HIRAGANA LETTER SU,す,012377,0x3059
HIRAGANA LETTER ZU,ず,012378,0x305A
HIRAGANA LETTER SE,せ,012379,0x305B
HIRAGANA LETTER ZE,ぜ,012380,0x305C
HIRAGANA LETTER SO,そ,012381,0x305D
HIRAGANA LETTER ZO,ぞ,012382,0x305E
HIRAGANA LETTER TA,た,012383,0x305F
HIRAGANA LETTER DA,だ,012384,0x3060
HIRAGANA LETTER TI,ち,012385,0x3061
HIRAGANA LETTER DI,ぢ,012386,0x3062
HIRAGANA LETTER SMALL TU,っ,012387,0x3063
HIRAGANA LETTER TU,つ,012388,0x3064
HIRAGANA LETTER DU,づ,012389,0x3065
HIRAGANA LETTER TE,て,012390,0x3066
HIRAGANA LETTER DE,で,012391,0x3067
HIRAGANA LETTER TO,と,012392,0x3068
HIRAGANA LETTER DO,ど,012393,0x3069
HIRAGANA LETTER NA,な,012394,0x306A
HIRAGANA LETTER NI,に,012395,0x306B
HIRAGANA LETTER NU,ぬ,012396,0x306C
HIRAGANA LETTER NE,ね,012397,0x306D
HIRAGANA LETTER NO,の,012398,0x306E
HIRAGANA LETTER HA,は,012399,0x306F
HIRAGANA LETTER BA,ば,012400,0x3070
HIRAGANA LETTER PA,ぱ,012401,0x3071
HIRAGANA LETTER HI,ひ,012402,0x3072
HIRAGANA LETTER BI,び,012403,0x3073
HIRAGANA LETTER PI,ぴ,012404,0x3074
HIRAGANA LETTER HU,ふ,012405,0x3075
HIRAGANA LETTER BU,ぶ,012406,0x3076
HIRAGANA LETTER PU,ぷ,012407,0x3077
HIRAGANA LETTER HE,へ,012408,0x3078
HIRAGANA LETTER BE,べ,012409,0x3079
HIRAGANA LETTER PE,ぺ,012410,0x307A
HIRAGANA LETTER HO,ほ,012411,0x307B
HIRAGANA LETTER BO,ぼ,012412,0x307C
HIRAGANA LETTER PO,ぽ,012413,0x307D
HIRAGANA LETTER MA,ま,012414,0x307E
HIRAGANA LETTER MI,み,012415,0x307F
HIRAGANA LETTER MU,む,012416,0x3080
HIRAGANA LETTER ME,め,012417,0x3081
HIRAGANA LETTER MO,も,012418,0x3082
HIRAGANA LETTER SMALL YA,ゃ,012419,0x3083
HIRAGANA LETTER YA,や,012420,0x3084
HIRAGANA LETTER SMALL YU,ゅ,012421,0x3085
HIRAGANA LETTER YU,ゆ,012422,0x3086
HIRAGANA LETTER SMALL YO,ょ,012423,0x3087
HIRAGANA LETTER YO,よ,012424,0x3088
HIRAGANA LETTER RA,ら,012425,0x3089
HIRAGANA LETTER RI,り,012426,0x308A
HIRAGANA LETTER RU,る,012427,0x308B
HIRAGANA LETTER RE,れ,012428,0x308C
HIRAGANA LETTER RO,ろ,012429,0x308D
HIRAGANA LETTER SMALL WA,ゎ,012430,0x308E
HIRAGANA LETTER WA,わ,012431,0x308F
HIRAGANA LETTER WI,ゐ,012432,0x3090
HIRAGANA LETTER WE,ゑ,012433,0x3091
HIRAGANA LETTER WO,を,012434,0x3092
HIRAGANA LETTER N,ん,012435,0x3093
HIRAGANA LETTER VU,ゔ,012436,0x3094
